BEAT,AVG_CALLS,HIGH_RISK_RATIO,SHIFT,SCENARIO,SCENARIO_DEMAND,UNITS,IS_HOTSPOT,SHIFT_HOURS,CAPACITY,COVERAGE,SHORTFALL
812,1.0952380952380951,0.8695652173913043,Night,status_quo,1.0952380952380951,0,0,8.0,0.0,0.0,1.0952380952380951
813,5.604166666666667,0.7392458842272969,Night,status_quo,5.604166666666667,1,0,8.0,24.0,5.604166666666667,0.0
814,1.3008849557522124,0.7210884353741497,Night,status_quo,1.3008849557522124,0,0,8.0,0.0,0.0,1.3008849557522124
821,2.435251798561151,0.689807976366322,Night,status_quo,2.435251798561151,1,0,8.0,24.0,2.435251798561151,0.0
822,1.793859649122807,0.7114914425427873,Night,status_quo,1.793859649122807,0,0,8.0,0.0,0.0,1.793859649122807
823,1.5403726708074534,0.6653225806451613,Night,status_quo,1.5403726708074534,0,0,8.0,0.0,0.0,1.5403726708074534
824,2.196078431372549,0.7857142857142857,Night,status_quo,2.196078431372549,0,0,8.0,0.0,0.0,2.196078431372549
825,1.8428571428571427,0.6020671834625323,Night,status_quo,1.8428571428571427,0,0,8.0,0.0,0.0,1.8428571428571427
826,2.700680272108844,0.8161209068010076,Night,status_quo,2.700680272108844,1,0,8.0,24.0,2.700680272108844,0.0
827,1.7045454545454546,0.792,Night,status_quo,1.7045454545454546,0,0,8.0,0.0,0.0,1.7045454545454546
828,1.279279279279279,0.8591549295774648,Night,status_quo,1.279279279279279,0,0,8.0,0.0,0.0,1.279279279279279
829,1.0,0.8333333333333334,Night,status_quo,1.0,0,0,8.0,0.0,0.0,1.0
831,2.358565737051793,0.8344594594594594,Night,status_quo,2.358565737051793,0,0,8.0,0.0,0.0,2.358565737051793
832,2.6402877697841727,0.8610354223433242,Night,status_quo,2.6402877697841727,1,0,8.0,24.0,2.6402877697841727,0.0
833,1.5513513513513513,0.7142857142857143,Night,status_quo,1.5513513513513513,0,0,8.0,0.0,0.0,1.5513513513513513
834,3.1186440677966103,0.4054347826086956,Night,status_quo,3.1186440677966103,1,0,8.0,24.0,3.1186440677966103,0.0
835,1.2677165354330708,0.7329192546583851,Night,status_quo,1.2677165354330708,0,0,8.0,0.0,0.0,1.2677165354330708
836,1.6174496644295302,0.6970954356846473,Night,status_quo,1.6174496644295302,0,0,8.0,0.0,0.0,1.6174496644295302
837,1.644578313253012,0.5494505494505495,Night,status_quo,1.644578313253012,0,0,8.0,0.0,0.0,1.644578313253012
838,2.2566037735849056,0.7558528428093646,Night,status_quo,2.2566037735849056,0,0,8.0,0.0,0.0,2.2566037735849056
839,1.5336538461538465,0.6144200626959248,Night,status_quo,1.5336538461538465,0,0,8.0,0.0,0.0,1.5336538461538465
841,1.3829787234042554,0.8051282051282052,Night,status_quo,1.3829787234042554,0,0,8.0,0.0,0.0,1.3829787234042554
9,1.0,1.0,Night,status_quo,1.0,0,0,8.0,0.0,0.0,1.0
931,2.5904059040590406,0.5669515669515669,Night,status_quo,2.5904059040590406,1,0,8.0,24.0,2.5904059040590406,0.0
932,1.346666666666667,0.5346534653465347,Night,status_quo,1.346666666666667,0,0,8.0,0.0,0.0,1.346666666666667
933,1.3525179856115108,0.7446808510638298,Night,status_quo,1.3525179856115108,0,0,8.0,0.0,0.0,1.3525179856115108
934,3.0844155844155843,0.5905263157894737,Night,status_quo,3.0844155844155843,1,0,8.0,24.0,3.0844155844155843,0.0
935,1.2241379310344829,0.7323943661971831,Night,status_quo,1.2241379310344829,0,0,8.0,0.0,0.0,1.2241379310344829
936,1.297872340425532,0.6721311475409836,Night,status_quo,1.297872340425532,0,0,8.0,0.0,0.0,1.297872340425532
937,1.3057851239669422,0.6772151898734177,Night,status_quo,1.3057851239669422,0,0,8.0,0.0,0.0,1.3057851239669422
0,1.0,0.5,Night,risk_aware_1.5,1.25,0,0,8.0,0.0,0.0,1.0
111,3.0588235294117645,0.6741452991452992,Night,risk_aware_1.5,4.089869281045751,1,0,8.0,24.0,3.0588235294117645,0.0
112,1.7455357142857142,0.7979539641943734,Night,risk_aware_1.5,2.4419642857142856,0,0,8.0,0.0,0.0,1.7455357142857142
113,1.8222222222222224,0.6804878048780488,Night,risk_aware_1.5,2.4422222222222225,0,0,8.0,0.0,0.0,1.8222222222222224
114,2.4461538461538463,0.7028301886792453,Night,risk_aware_1.5,3.305769230769231,1,0,8.0,24.0,2.4461538461538463,0.0
115,5.100609756097561,0.5893604303646145,Night,risk_aware_1.5,6.603658536585366,1,0,8.0,24.0,5.100609756097561,0.0
116,2.527586206896552,0.7339699863574352,Night,risk_aware_1.5,3.455172413793103,1,0,8.0,24.0,2.527586206896552,0.0
121,2.6188679245283017,0.6628242074927954,Night,risk_aware_1.5,3.486792452830189,1,0,8.0,24.0,2.6188679245283017,0.0
122,11.553571428571429,0.7086553323029366,Night,risk_aware_1.5,15.647321428571429,2,1,8.0,48.0,11.553571428571429,0.0
123,3.627831715210356,0.3800178412132025,Night,risk_aware_1.5,4.317152103559871,1,0,8.0,24.0,3.627831715210356,0.0
124,4.850746268656716,0.6578461538461539,Night,risk_aware_1.5,6.446268656716418,1,0,8.0,24.0,4.850746268656716,0.0
126,1.3357142857142856,0.5989304812834224,Night,risk_aware_1.5,1.7357142857142853,0,0,8.0,0.0,0.0,1.3357142857142856
231,1.456140350877193,0.6566265060240963,Night,risk_aware_1.5,1.9342105263157896,0,0,8.0,0.0,0.0,1.456140350877193
232,1.8823529411764703,0.6276041666666666,Night,risk_aware_1.5,2.473039215686274,0,0,8.0,0.0,0.0,1.8823529411764703
233,3.19435736677116,0.5004906771344455,Night,risk_aware_1.5,3.9937304075235107,1,0,8.0,24.0,3.19435736677116,0.0
234,2.640138408304498,0.7024901703800787,Night,risk_aware_1.5,3.5674740484429064,1,0,8.0,24.0,2.640138408304498,0.0
235,1.186046511627907,0.9607843137254902,Night,risk_aware_1.5,1.7558139534883723,0,0,8.0,0.0,0.0,1.186046511627907
241,1.9961977186311788,0.5980952380952381,Night,risk_aware_1.5,2.593155893536122,0,0,8.0,0.0,0.0,1.9961977186311788
242,5.33933933933934,0.6811023622047244,Night,risk_aware_1.5,7.1576576576576585,1,0,8.0,24.0,5.33933933933934,0.0
243,2.4057971014492754,0.5316265060240963,Night,risk_aware_1.5,3.045289855072464,0,0,8.0,0.0,0.0,2.4057971014492754
245,1.2307692307692308,0.671875,Night,risk_aware_1.5,1.6442307692307694,0,0,8.0,0.0,0.0,1.2307692307692308
246,1.3548387096774193,0.7380952380952381,Night,risk_aware_1.5,1.8548387096774193,0,0,8.0,0.0,0.0,1.3548387096774193
311,5.12874251497006,0.4483362521891418,Night,risk_aware_1.5,6.278443113772456,1,0,8.0,24.0,5.12874251497006,0.0
312,2.362264150943396,0.6150159744408946,Night,risk_aware_1.5,3.0886792452830187,0,0,8.0,0.0,0.0,2.362264150943396
313,8.669642857142858,0.5005149330587023,Night,risk_aware_1.5,10.839285714285714,1,1,8.0,24.0,8.669642857142858,0.0
314,1.9703389830508475,0.7290322580645161,Night,risk_aware_1.5,2.6885593220338984,0,0,8.0,0.0,0.0,1.9703389830508475
315,4.926153846153846,0.740787008119925,Night,risk_aware_1.5,6.750769230769231,1,0,8.0,24.0,4.926153846153846,0.0
316,1.1290322580645162,0.7428571428571429,Night,risk_aware_1.5,1.5483870967741937,0,0,8.0,0.0,0.0,1.1290322580645162
